,GunName,GunType,Operators,OperatorType,Damage,FireRate
0,M4 ,AR,"Striker, Maverick",Attacker,44,750
1,M249 ,LMG,"Striker, Capitao, Rauora",Attacker,48,650
2,SR-25 ,DMR,"Striker, Blackbeard, Flores",Attacker,61,450
3,L85A2 ,AR,"Sledge, Thatcher",Attacker,47,670
4,AR33 ,AR,"Thatcher, Flores",Attacker,41,749
5,PMR90A2,DMR,"Thatcher, Capitao, Hibana",Attacker,62,450
6,R4-C ,AR,"Ash, Ram",Attacker,39,860
7,G36C ,AR,"Ash, Iana",Attacker,38,780
8,556XI ,AR,"Thermite, Osa",Attacker,47,690
9,F2 ,AR,Twitch,Attacker,37,980
10,417,DMR,"Twitch, Lion, Sens, Rauora",Attacker,69,450
11,OTs-03 ,Sniper/DMR,Glaz,Attacker,71,380
12,6P41 ,LMG,"Fuze, Finka",Attacker,46,680
13,AK-12 ,AR,"Fuze, Ace",Attacker,40,850
14,AUG A2 ,AR,"IQ, Wamai","Attacker, Defender",42,720
15,552 COMMANDO ,AR,"IQ, Grim",Attacker,43,690
16,G8A1 ,LMG,"IQ, Amaru",Attacker,37,850
17,C8-SFW ,AR,Buck,Attacker,40,837
18,CAMRS ,DMR,"Buck, Brava",Attacker,69,450
19,MK17 CQB ,AR,Blackbeard,Attacker,44,585
20,PARA-308 ,AR,"Capitao, Brava",Attacker,47,650
21,TYPE-89 ,AR,Hibana,Attacker,40,850
22,C7E ,AR,Jackal,Attacker,42,800
23,PDW9 ,SMG,"Jackal, Osa",Attacker,34,800
24,T-95 LSW ,LMG,Ying,Attacker,46,650
25,LMG-E ,LMG,"Zofia, Ram",Attacker,41,720
26,M762 ,AR,Zofia,Attacker,45,730
27,BOSG.12.2,Slug Shotgun/Sniper,"Dokkaebi, Vigil","Attacker, Defender",125,600
28,Mk 14 EBR ,DMR,"Dokkaebi, Aruni","Attacker, Defender",60,450
29,V308 ,AR,Lion,Attacker,44,700
30,SPEAR .308 ,AR,Finka,Attacker,42,700
31,AR-15.AR-15.50 ,DMR,"Maverick, Tubarao","Attacker, Defender",67,450
32,AK-74M ,AR,"Nomad, Deimos",Attacker,44,650
33,ARX200 ,AR,"Nomad, Iana",Attacker,47,700
34,F90 ,AR,Gridlock,Attacker,38,780
35,M249 SAW ,LMG,Gridlock,Attacker,48,650
36,FMG-9 ,SMG,"Nokk, Smoke, Denari","Attacker, Defender",34,800
37,CSRX 300 ,Sniper,Kali,Attacker,135,450
38,SC3000K ,AR,Zero,Attacker,45,800
39,MP7 ,SMG,"Zero, Bandit, Fenrir","Attacker, Defender",32,900
40,POF-9 ,AR,Sens,Attacker,35,740
41,COMMANDO 9 ,AR,"Sentry, Mozzie",Defender,36,780
42,TCSG12 ,Slug Shotgun/DMR,"Sentry, Kaid, Goyo",Defender,75,500
43,MP5K ,SMG,"Mute, Wamai",Defender,30,800
44,UMP45 ,SMG,"Pulse, Castle",Defender,42,600
45,MP5 ,SMG,"Doc, Rook, Melusi",Defender,27,800
46,P90 ,SMG,"Doc, Rook, Solis",Defender,22,970
47,9x19VSN ,SMG,"Kapkan, Tachanka, Azami",Defender,34,750
48,DP27 ,LMG,Tachanka,Defender,60,550
49,416-C CARBINE ,AR,Jager,Defender,38,740
50,9mm C1 ,SMG,Frost,Defender,36,575
51,MPX ,SMG,"Valkyrie, Warden, Tubarao",Defender,26,830
52,M12 ,SMG,Caveira,Defender,40,550
53,MP5SD ,SMG,Echo,Defender,30,800
54,VECTOR .45 ACP ,SMG,"Mira, Goyo",Defender,23,1200
55,T-5 SMG ,SMG,"Lesion, Oryx",Defender,28,900
56,SCORPION EVO 3 A1 ,SMG,"Ela, Denari",Defender,23,1080
57,K1A ,SMG,Vigil,Defender,36,720
58,ALDA 5.56 ,LMG,Maestro,Defender,35,900
59,ACS12 ,Slug Shotgun/DMR,"Maestro, Alibi, Azami",Defender,69,300
60,Mx4 Storm ,SMG,Alibi,Defender,26,950
61,AUG A3 ,SMG,Kaid,Defender,36,700
62,P10 RONI ,SMG,"Mozzie, Aruni",Defender,26,980
63,UZKAR-15.50GI ,SMG,Thorn,Defender,36,700
64,PCX-33 ,AR,Skopos,Defender,36,745
65,Reaper MK2 ,Machine Pistol,"Sledge, Ying, Maverick, Rauora, Pulse, Rook, Oryx","Attacker, Defender",31,765
66,BEARING 9 ,Machine Pistol,"Glaz, Hibana, Tachanka, Echo, Thunderbird","Attacker, Defender",33,1100
67,SMG-11 ,Machine Pistol,"Amaru, Smoke, Mute, Solis","Attacker, Defender",32,1270
68,SMG-12 ,Machine Pistol,"Dokkaebi, Vigil, Warden","Attacker, Defender",28,1270
69,C75 Auto ,Machine Pistol,"Dokkaebi, Kali, Sentry, Vigil, Thorn","Attacker, Defender",35,1000
70,SPSMG9 ,Machine Pistol,"Kali, Clash","Attacker, Defender",33,980
71,5.7 USG,Pistol,"Striker, Ash, Thermite, Nokk, Zero, Castle, Pulse, Fenrir","Attacker, Defender",42,500
